Symbol,US Trading Venue,Trading Date,OTC Tier,Caveat Emptor,Security Type,Security Class,Security Name,Country of Domicile,Company Name
AAALY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,AAREAL BANK AG UNSP/ADR,Germany,Aareal Bank AG
AABB,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,A,ASIA BROADBAND INC,USA,"Asia Broadband, Inc."
AABVF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,ABERDEEN INTL INC,Canada,Aberdeen International Inc.
AACAF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,AAC TECHS HLDGS INC ORD,China,AAC Technologies Holdings Inc
AACAY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,AAC TECHS HLDGS UNSP/ADR,China,AAC Technologies Holdings Inc
AACEY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,ASIA CMNT HLDGS UNSP/ADR,Taiwan,Asia Cement (China) Holdings Corp
AACS,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,AMER COMMERCE SOLTNS INC,USA,"American Commerce Solutions, Inc."
AACTF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,AURORA SOLAR TECHNOLOGIES,Canada,Aurora Solar Technologies Inc.
AAEH,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,ALL AMER ENERGY CORP,USA,All American Energy Corp.
AAGC,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,ALL AMERICAN GOLD CORP,USA,All American Gold Corp.
AAGH,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,AMERICA GREAT HEALTH,USA,America Great Health
AAGIY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,AIA GROUP LTD S/ADR,Hong Kong,"AIA Group, Ltd."
AAGRY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,ASTRA AGRO LESTR UNSP/ADR,Indonesia,Astra Agro Lestari TBK
AAIGF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,AIA GROUP LTD ORD,Hong Kong,"AIA Group, Ltd."
AAIIQ,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,ALABAMA AIRCRAFT INDUS,USA,"Alabama Aircraft Industries, Inc."
AAIR,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,AVANTAIR INC,USA,"Avantair, Inc."
AAMAF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,ATLAS MARA CO NVEST ORD,British Virgin Islands,Atlas Mara Co Nvest Ltd.
AAMTF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,ARMADA MERCANTILE LTD,USA,Armada Mercantile Ltd.
AAPH,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,AMER PETRO-HUNTER INC,USA,"American Petro-Hunter, Inc."
AAPJ,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,AAP INC,Japan,"AAP, Inc."
AAPT,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,ALL AMERICAN PET CO INC,USA,"All American Pet Company, Inc."
AASL,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,AMERICA'S SUPPLIERS INC,USA,"America's Suppliers, Inc."
AASP,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,ALL-AMER SPORTPARK INC,USA,"All-American SportPark, Inc."
AAST,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,ALLIED AMERICAN STEEL CRP,USA,Allied American Steel Corp.
AATV,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,ADAPTIVE AD SYSTEMS INC,USA,"Adaptive Ad Systems, Inc."
AAUKF,OTC Link,04/01/2018,OTCQX International Premier,N,Ordinary Shares,,ANGLO AMER PLC ORD.,United Kingdom,Anglo American plc
AAVXF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,ABIVAX SA ORD,France,Abivax SA
AAWC,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,ALEXANDRIA ADVANTGE WRNTY,USA,Alexandria Advantage Warranty Company
AAXT,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,AAMAXAN TRANSPORT GRP INC,Canada,"Aamaxan Transport Group, Inc."
ABBAF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,ABERDEEN ASIAN INCOME FUN,United Kingdom,Aberdeen Asian Income Fund
ABBB,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,AUBURN BANCORP INC,USA,"Auburn Bancorp, Inc."
ABBY,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,ABBY INC,USA,"Abby, Inc."
ABCAF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,ATHABASCA MINERALS INC,Canada,Athabasca Minerals Inc.
ABCCF,OTC Link,04/01/2018,OTCQB,N,Ordinary Shares,,ABCANN GLOBAL CORP ORD,Canada,ABcann Global Corp
ABCE,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,ABCO ENERGY INC,USA,"ABCO Energy, Inc."
ABCFF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,ABACUS MINING & EXPL ORD,Canada,Abacus Mining & Exploration Corp.
ABCP,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,AMBASE CORP,USA,AmBase Corp.
ABCR,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,ABC RECORDS MGMT & DATA,China,ABC Records Management and Data Storage Inc
ABCZF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,ABCAM PLC ORD,United Kingdom,Abcam PLC
ABCZY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,ABCAM PLC ADR,United Kingdom,Abcam PLC
ABDR,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,AMBASSADOR FOOD SVCS CORP,USA,Ambassador Food Services Corp.
ABEC,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,ANALYTICA BIO-ENERGY CORP,Canada,Analytica Bio-Energy Corp.
ABEPF,OTC Link,04/01/2018,OTCQB,N,Ordinary Shares,,ABE RESOURCES INC ORD,Canada,"ABE Resources, Inc."
ABFOF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,ABERTIS INFRAESTRCTS ORD,Spain,Abertis Infraestructuras SA
ABGLF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,ACACIA MINING PLC,,Acacia Mining PLC
ABGOF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,ABENGOA SA ORD,Spain,Abengoa S.A.
ABGOY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,ABENGOA SA UNSP/ADR,Spain,Abengoa S.A.
ABGSF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,ABG SUNDAL COLLIER ASA,,ABG Sundal Collier ASA
ABHD,OTC Link,04/01/2018,OTCQB,N,Common Stock,,ABTECH HOLDINGS INC,USA,"Abtech Holdings, Inc."
ABHI,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,AMBICOM HOLDINGS INC,USA,"AmbiCom Holdings, Inc."
ABKB,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,AMER BASKETBALL ASSN INC,USA,"American Basketball Association, Inc."
ABLT,OTC Link,04/01/2018,OTC Pink Limited,N,Common Stock,,AMERICAN BILTRITE INC,USA,"American Biltrite, Inc."
ABLYF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,ABLYNX NV ORD,Belgium,Ablynx NV
ABLZF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,ABB LTD ZUERICH,Switzerland,ABB Ltd.
ABMBF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,B,ABCOURT MINES INC B,Canada,Abcourt Mines Inc.
ABMC,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,AMER BIO MEDICA CORP,USA,American Bio Medica Corp.
ABMRF,OTC Link,04/01/2018,OTC Pink Current,N,Other Security Type,,ABN AMRO GRP NV ORD,The Netherlands,ABN Amro Group NV
ABMT,OTC Link,04/01/2018,OTCQB,N,Common Stock,,ADVANCED BIOMEDICAL TECHS,USA,"Advanced BioMedical Technologies, Inc."
ABNAF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,ABEN RES LTD ORD,Canada,"Aben Resources, Ltd."
ABNC,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,AMER BANCORP INC LA,USA,"American Bancorp, Inc."
ABNK,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,ALTAPACIFIC BANCORP,USA,AltaPacific Bancorp
ABNRY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,ABN AMRO GRP NV UNSP/ADR,The Netherlands,ABN Amro Group NV
ABPA,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,ALLEGIANCE BK OF N/A (PA),USA,"Allegiance Bank of North America (Bala Cynwyd, PA)"
ABPR,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,AIRBORNE SEC & PROT SVCS,USA,"Airborne Security & Protective Services, Inc."
ABQQ,OTC Link,04/01/2018,OTCQB,N,Common Stock,,AB INTL GROUP CORP,USA,AB INTL Group Corp.
ABRTY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,ABERTIS INFRSTRC UNSP/ADR,Spain,Abertis Infraestructuras SA
ABSCF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,AB SCIENCE PARIS ORD,France,"AB Science, Paris"
ABSR,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,AMERICAN BUSINESS SVCS,USA,American Business Services Inc.
ABSSF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,AIRBOSS OF AMERICA CORP,Canada,AirBoss of America Corp.
ABTO,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,AB&T FINCL CORP (NC),USA,AB&T Financial Corp. (NC)
ABTZY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,ABOITIZ EQTY VNT UNSP/ADR,Philippines,"Aboitiz Equity Ventures, Inc."
ABVC,OTC Link,04/01/2018,OTCQB,N,Common Stock,,AMERICAN BRIVISION HLDG,USA,American BriVision (Holding) Corporation
ABVG,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,AFFINITY BEVERAGE GROUP,USA,"Affinity Beverage Group, Inc."
ABVN,OTC Link,04/01/2018,OTCQB,N,Common Stock,,ABV CONSULTING INC,China,ABV Consulting Inc.
ABWN,OTC Link,04/01/2018,OTCQB,N,Common Stock,,AIRBORNE WIRELESS NETWORK,USA,Airborne Wireless Network
ABYB,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,AMBOY BANCORPORATION,USA,Amboy Bancorporation
ABZPF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,ABOITIZ POWER CORP,Philippines,Aboitiz Power Corp.
ABZPY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,ABOITIZ POWER UNSP/ADR,Philippines,Aboitiz Power Corp.
ABZUF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,ABZU GOLD LTD ORD NEW,Canada,"Abzu Gold, Ltd."
ACAN,OTC Link,04/01/2018,OTCQB,N,Common Stock,,AMERICANN INC,USA,Americann Inc.
ACAR,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,ACTIVECARE INC,USA,Activecare Inc.
ACAZF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,ACADIAN TIMBER CORP ORD,Canada,Acadian Timber Corp
ACBC,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,ALBINA COMMUNITY BNCRP,USA,Albina Community Bancorp
ACBFF,OTC Link,04/01/2018,OTCQX International,N,Ordinary Shares,,AURORA CANNABIS INC ORD,Canada,Aurora Cannabis Inc.
ACBM,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,ARCO BIOMEDICAL CO LTD,Taiwan,"Acro Biomedical Co., Ltd."
ACCA,OTC Link,04/01/2018,OTCQB,N,Common Stock,,ACACIA DIVERSIFIED HLDGS,USA,"Acacia Diversified Holdings, Inc."
ACCFF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,ACCORD FINCL CORP,Canada,Accord Financial Corp.
ACCYY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,ACCOR SA SPNS/ADR,France,Accor SA Ltd.
ACDVF,OTC Link,04/01/2018,OTCQX International Premier,N,Ordinary Shares,,AIR CANADA INC VTG & VAR,Canada,Air Canada
ACEZ,OTC Link,04/01/2018,OTCQB,N,Common Stock,,ARIEL CLEAN ENERGY INC,USA,"Ariel Clean Energy, Inc."
ACFL,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,AMC FINANCIAL HLDGS INC,USA,"AMC Financial Holdings, Inc."
ACFN,OTC Link,04/01/2018,OTCQB,N,Common Stock,,ACORN ENERGY INC,USA,"Acorn Energy, Inc."
ACGBF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,AGRICULTURAL BANK OF CHIN,China,Agricultural Bank of China
ACGBY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,AGRICULTURAL B/C UNSP/ADR,China,Agricultural Bank of China
ACGI,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,AMACORE GROUP INC A,USA,"Amacore Group, Inc. (The)"
ACGPF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,ACCELL GROUP NV ORD,The Netherlands,Accell Group NV
ACGX,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,ALLIANCE CREATIVE GRP INC,USA,"Alliance Creative Group, Inc."
ACGYF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,SUBSEA 7 SA ORD,United Kingdom,Subsea 7 S.A.
ACKAY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,ARCELIK A S UNSP/ADR,Turkey,Arcelik  A.S.
ACKDF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,AUCKLAND INTL LTD ORD,New Zealand,Auckland International Airport Ltd.
ACKRF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,AMERICAN CREEK RES LTD,Canada,"American Creek Resources, Ltd."
ACLD,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,ACQUIRE LTD,Canada,Acquire Ltd.
ACLLF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,I,ATCO LTD 1 NV CDA,Canada,Atco Ltd.
ACLZ,OTC Link/BB,04/01/2018,OTCQB,N,Common Stock,,ACCELERIZE INC,USA,Accelerize Inc.
ACMB,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,AGRO CAPITAL MGMT CP,USA,Agro Capital Management Corp
ACMC,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,AMER CHURCH MTGE CO,USA,American Church Mortgage Co.
ACMDY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,ATLAS CONS MNG&DEV AT ADR,Philippines,Atlas Consolidated Mining & Development Corp.
ACMT,OTC Link,04/01/2018,OTC Pink Limited,N,Common Stock,,ACMAT CORP,USA,ACMAT Corp.
ACMTA,OTC Link,04/01/2018,OTC Pink Limited,N,Common Stock,A,ACMAT CORP A,USA,ACMAT Corp.
ACMUY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,ACOM CO LTD S/ADR,Japan,Acom Co. Ltd.
ACNE,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,ALICE CONSOL MINES INC,USA,"Alice Consolidated Mines, Inc."
ACNI,OTC Link,04/01/2018,OTC Pink No Information,Y,Common Stock,,AMER CMNTY NEWSPAPRS INC,USA,"American Community Newspapers, Inc."
ACNNF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,AUSCANN GROUP HLDGS LTD,Australia,Auscann Group Holdings Ltd.
ACNV,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,ACCELERA INNOVATIONS INC,USA,"Accelera Innovations, Inc."
ACOL,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,ACOLOGY INC,USA,Acology Inc.
ACOPF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,A2 MILK CO LTD,New Zealand,A2 Milk Co Ltd.
ACPGF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,ATACAMA PACIFIC GOLD CORP,Canada,Atacama Pacific Gold Corp.
ACRB,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,ASIA CARBON INDUSTRIES,China,"Asia Carbon Industries, Inc."
ACRFF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,ACCOR SA,France,Accor SA Ltd.
ACRL,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,ATACAMA RESOURCES INTL,USA,"Atacama Resources International, Inc."
ACRT,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,ADVANCED CREDIT TECHS INC,USA,Advanced Credit Technologies Inc
ACSAF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,ACS ACTIVIDADES DE CONSTR,Spain,ACS Actividades De Construccion Y Servicios SA
ACSAY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,ACS ACTIVIDADS CNS UN/ADR,Spain,ACS Actividades De Construccion Y Servicios SA
ACSEF,OTC Link,04/01/2018,OTC Pink No Information,N,Ordinary Shares,,ACS MOTION CONTROL LTD,Israel,"ACS Motion Control, Ltd."
ACTL,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,ARTEC GLOBAL MEDIA INC,USA,"Artec Global Media, Inc."
ACUIF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,ACUITYADS HLDGS INC ORD,Canada,AcuityAds Hldgs Inc.
ACUR,OTC Link,04/01/2018,OTCQB,N,Common Stock,,ACURA PHARMS INC,USA,"Acura Pharmaceuticals, Inc."
ACUS,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,ACUSPHERE INC NEW,USA,"Acusphere, Inc."
ACWRF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,ACCELEWARE LTD,Canada,Acceleware Ltd.
ACXIF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,ACCIONA SA,Spain,Acciona S.A.
ADAC,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,ADAMA TECHS CORP,USA,Adama Technologies Corp.
ADAD,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,ADAIAH DISTR INC,Latvia,Adaiah Distribution Inc.
ADAT,OTC Link,04/01/2018,OTCQB,N,Common Stock,,AUTHENTIDATE HLDG CP NEW,USA,AuthentiDate Holding Corp.
ADBCF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,ADELAIDE BRIGHTON LTD,Australia,Adelaide Brighton Ltd.
ADCF,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,ADVANCED DEFENSE TECHS,USA,"Advanced Defense Technologies, Inc."
ADDC,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,ADDMASTER CORP,USA,Addmaster Corp.
ADDDF,OTC Link,04/01/2018,OTCQX International Premier,N,Ordinary Shares,,ADIDAS AG ORD,Germany,adidas AG
ADDYY,OTC Link,04/01/2018,OTCQX International Premier,N,American Depository Receipts,,ADIDAS AG S/ADR,Germany,adidas AG
ADERY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,AIDA ENGINEERING LTD ADR,Japan,"Aida Engineering Co., Ltd."
ADEXF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,ADVANCED EXPLORATIONS INC,Canada,Advanced Explorations Inc.
ADFI,OTC Link,04/01/2018,OTCQB,N,Common Stock,,ASIAN DEV FRONTIER INC,Thailand,Asian Development Frontier Inc.
ADFS,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,AMERICAN DEFENSE SYS INC,USA,"American Defense Systems, Inc."
ADFT,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,ADFITECH INC,USA,"Adfitech, Inc."
ADGL,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,ALLDIGITAL HOLDINGS INC,USA,"AllDigital Holdings, Inc."
ADGS,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,ADGS ADVISORY INC,China,"ADGS Advisory, Inc."
ADHC,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,AMER DIVRSFD HLDGS CORP,USA,American Diversified Holdings Corp.
ADHG,OTC Link,04/01/2018,OTCQB,N,Common Stock,,ANDO HOLDINGS LTD,Hong Kong,Ando Holdings Ltd.
ADHMY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,ADVANCED DIG HLT SPNS/ADR,Brazil,Advanced Digital Health Medicina Preventiva SA
ADIA,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,ADIA NUTRITION INC,USA,"Adia Nutrition, Inc."
ADKT,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,ADIRONDACK TRUST SARA SPS,USA,"Adirondack Trust Co. (Saratoga Springs, NY)"
ADLDY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,ADELAIDE BRIGHTON UNS/ADR,Australia,Adelaide Brighton Ltd.
ADLI,OTC Link,04/01/2018,OTC Pink No Information,Y,Common Stock,,AMER MEDICAL TECHS INC,USA,"American Medical Technologies, Inc."
ADMG,OTC Link,04/01/2018,OTCQB,N,Common Stock,,ADAMANT DRI PRCNG &MNRLS,China,Adamant DRI Processing and Minerals Group
ADMT,OTC Link,04/01/2018,OTCQB,N,Common Stock,,ADM TRONICS UNLTD INC,USA,"ADM Tronics Unlimited, Inc."
ADMV,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,ADAMAS VENTURES INC,China,Adamas Ventures Inc.
ADNY,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,ADINO ENERGY CORP,USA,Adino Energy Corp.
ADOCY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,ADOCIA S/ADR,France,Adocia ACT
ADOOY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,ADARO ENERGY PT UNSP/ADR,Indonesia,Adaro Energy PT
ADPXY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,AUDIO PIXELS HLDGS S/ADR,Australia,Audio Pixels Holdings Ltd
ADRNY,OTC Link,04/01/2018,OTCQX International Premier,N,American Depository Receipts,,KONINKLIJKE AD N.V. S/ADR,The Netherlands,Koninklijke Ahold Delhaize N.V.
ADRZF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,ANDRITZ AG GRAZ AKT,Austria,Andritz AG
ADRZY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,ANDRITZ AG UNSP/ADR,Austria,Andritz AG
ADSV,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,ALLIED SEC INNOVATINS NEW,USA,"Allied Security Innovations, Inc."
ADTC,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,ADVANCED DEPOSITION TECHS,USA,"Advanced Deposition Technologies, Inc."
ADTM,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,ADAPTIVE MEDIAS INC,USA,"Adaptive Medias, Inc."
ADTR,OTC Link,04/01/2018,OTC Pink Limited,N,Common Stock,,ALLIANCE MEDIA HLDGS INC,USA,Alliance Media Holdings Inc.
ADTTF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,ADVANTEST CORP ORD,Japan,Advantest Corp.
ADTY,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,ADTEGRITY.COM INTL  INC,USA,"Adtegrity.com International, Inc."
ADVC,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,ADVANT-E CORP,USA,Advant-e Corp.
ADVOF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,ADVA OPTICAL NETWORKING,Germany,ADVA AG Optical Networking
ADVT,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,ADVANTIS CORP,USA,Advantis Corporation
ADVV,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,ADVECO GROUP INC,China,Adveco Group Inc.
ADXRF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,ADX ENERGY LTD,Australia,ADX Energy Ltd.
ADYNF,OTC Link,04/01/2018,OTC Pink No Information,N,Ordinary Shares,,ALGAE DYNAMICS CORP,Canada,Algae Dynamics Corp.
AEBZY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,ANADOLU EFES BIRCLK S/ADR,Turkey,Anadolu Efes Biracilik Ve Malt AS
AEEI,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,AMERICAN ENVIRNMNTL ENGY,USA,"American Environmental Energy, Inc."
AEEX,OTC Link,04/01/2018,OTCQB,N,Common Stock,,ASIA EQUITY EXCHANGE GRP,China,"Asia Equity Exchange Group, Inc."
AEGG,OTC Link,04/01/2018,OTCQB,N,Common Stock,,AMER ENERGY GROUP LTD,USA,"American Energy Group, Ltd. (THE)"
AEGOF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,AEGON N.V. ORD,The Netherlands,Aegon N.V.
AEGXF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,AECON GROUP INC,Canada,Aecon Group Inc.
AELEF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,ALPINE ELECTRONICS INC,Japan,Alpine Electronics Inc.
AELTF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,ADACEL TECHS LTD,Australia,Adacel Technologies Ltd.
AEMC,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,ARCHER ENTMT MDA CMNS,Singapore,"Archer Entertainment Media Communications, Inc."
AEMMY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,A2A SPA UNSP/ADR,Italy,A2A SpA
AENG,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,ADVANCED ENGINE TECHS INC,USA,"Advanced Engine Technologies, Inc."
AEOXF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,AEROPORTS DE PARIS ADP,,Aeroports de Paris ADP
AEPLF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,ANGLO ESTRN PLNTION ORD,,Anglo Eastern Plantation plc
AEPT,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,AMERICAN ENERGY PARTNERS,USA,"American Energy Partners, Inc."
AERG,OTC Link,04/01/2018,OTCQB,N,Common Stock,,APPLIED ENERGETICS INC,USA,"Applied Energetics, Inc."
AERO,OTC Link,04/01/2018,OTCQB,N,Common Stock,,AEROGROW INTL INC,USA,"Aero Grow International, Inc."
AERS,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,AERIUS,USA,Aerius
AERZY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,PJSC AEROFLOT RUSS S/ADR,Russia,PJSC Aeroflot Russian Airlines
AETUF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,ARC RESOURCES LTD ORD,Canada,Arc Resources Ltd.
AEXAF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,ATOS ORIGIN SA ORD,France,Atos Origin SA
AEXAY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,ATOS ORIGIN SA UNSP/ADR,France,Atos Origin SA
AEXE,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,AIM EXPLORATION INC,USA,Aim Exploration Inc.
