Symbol,US Trading Venue,Trading Date,OTC Tier,Caveat Emptor,Security Type,Security Class,Security Name,Country of Domicile,Company Name
HCHDF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,HOCHSCHILD MNG PLC ORD,United Kingdom,Hochschild Mining PLC
HCHMY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,HITACHI CHEMICAL UNSP/ADR,Japan,"Hitachi Chemical Co., Ltd."
HCKG,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,HOCKING VALLEY BNCSHS INC,USA,"Hocking Valley Bancshares, Inc. (OH)"
HCLC,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,HEALTH-CHEM CORP,USA,Health-Chem Corp.
HCMC,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,HEALTHIER CHOICES MGMT,USA,Healthier Choices Management Corp.
HCMLF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,LAFARGEHOLCIM LTD,Switzerland,LAFARGEHOLCIM LTD
HCMLY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,LAFARGEHOLCIM UNSP/ADR,Switzerland,LAFARGEHOLCIM LTD
HCRED,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,DLT RESOLUTION INC,USA,DLT Resolution Inc.
HCTHY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,HCL TECHS LTD UNSP/ADR,India,HCL Technologies Ltd.
HCTI,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,HYBRID COATING TECH INC,USA,"Hybrid Coating Technologies, Inc."
HCTPF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,HUTCHISON PORT HLDGS TR,Singapore,Hutchison Port Holdings Trust
HDELY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,HEIDELBERGCEMENT UNSP/ADR,Germany,HeidelbergCement AG
HDII,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,HYPERTENSION DIAGNSTCS,USA,"Hypertension Diagnostics, Inc."
HDRSF,OTC Link,04/01/2018,OTCQB,N,Ordinary Shares,,HIGHLAND COPPER CO INC,Canada,Highland Copper Company Inc.
HDUGF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,HUNTER DOUGLAS NV,The Netherlands,Hunter Douglas N.V.
HDUP,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,HEADSUP ENTMT INTL INC,USA,"HeadsUp Entertainment International, Inc."
HDVTY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,HENDERSON INVTS LTD S/ADR,China,Henderson Investment Ltd.
HDVW,OTC Link,04/01/2018,OTCQB,N,Common Stock,,HD VIEW 360 INC,USA,"HD View 360, Inc."
HDVY,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,HEALTH DISCOVERY CORP,USA,Health Discovery Corp.
HDYNQ,OTC Link,04/01/2018,OTC Pink Limited,N,Common Stock,,HYPERDYNAMICS CORP,USA,HyperDynamics Corp.
HEGIF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,HENGAN INTL GROUP CO ORD,China,"Hengan International Group Co., Ltd."
HEGIY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,HENGAN INTL GRP UNSP/ADR,China,"Hengan International Group Co., Ltd."
HEGLF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,HILL END GOLD LTD ORD NEW,Australia,"Hill End Gold, Ltd."
HEHSF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,HELLENIC EXCH SA REG SHS,Greece,Hellenic Stock Exchanges
HEINY,OTC Link,04/01/2018,OTCQX International Premier,N,American Depository Receipts,,HEINEKEN N V S/ADR,The Netherlands,Heineken N.V.
HELKF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,HENKEL KGAA AND CO  ORD,Germany,Henkel AG & Co. KGAA
HEMA,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,HEMACARE CORP,USA,HemaCare Corp.
HEME,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,HEALTHMED SVCS LTD,USA,Healthmed Services Ltd.
HEMP,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,HEMP INC,USA,"Hemp, Inc."
HENC,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,HOLLOMAN ENERGY CORP,USA,Holloman Energy Corp.
HENGY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,HENGDELI HLDGS UNSP/ADR,Hong Kong,Hengdeli Holdings Ltd
HENI,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,HINTO ENERGY INC,USA,"Hinto Energy, Inc."
HENKY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,HENKEL AG & CO KGAA S/ADR,Germany,Henkel AG & Co. KGAA
HENOY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,HENKEL AG & CO KGAA PFD,Germany,Henkel AG & Co. KGAA
HEOFF,OTC Link,04/01/2018,OTCQX International,N,Ordinary Shares,,H2O INNOVATION INC,Canada,H2O Innovation Inc.
HEPZF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,HRZONS GLD UNIT CL E NEW,Canada,Horizons Enhanced Income Gold Producers ETF
HERB,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,YASHENG GROUP,China,YaSheng Group
HERC,OTC Link,04/01/2018,OTC Pink No Information,Y,Common Stock,,H.E.R.C. PRODUCTS INC,USA,H.E.R.C. Products Inc.
HERXF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,HEROUX-DEUTEK INC,Canada,Heroux-Deutek Inc.
HESAF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,HERMES INTL SA,France,Hermes International SA
HESAY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,HERMES INTL SA UNSP/ADR,France,Hermes International SA
HESG,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,HEALTH SCIENCES GROUP INC,USA,"Health Sciences Group, Inc."
HEWA,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,HEALTHWAREHOUSE.COM,USA,"HealthWarehouse.com, Inc."
HEXEY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,HELLENIC EXCH UNSP/ADR,Greece,Hellenic Exchanges SA
HFBA,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,HFB FINANCIAL CORP,USA,HFB Financial Corp.
HFBK,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,HARFORD BK ABERDEEN MD,USA,Harford Bank of Aberdeen
HFRN,OTC Link,04/01/2018,OTCQB,N,Common Stock,,HARTFORD RETIREMENT NET,USA,Hartford Retirement Network Corp.
HGBL,OTC Link,04/01/2018,OTCQB,N,Common Stock,,HERITAGE GLOBAL INC,USA,Heritage Global Inc.
HGEN,OTC Link,04/01/2018,OTCQB,N,Common Stock,,HUMANIGEN INC,USA,"Humanigen, Inc."
HGGGQ,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,HHGREGG INC,USA,"HHGregg, Inc."
HGHAF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,HIGH ARCTIC ENGY SVCS,Canada,"High Arctic Energy Services., Inc."
HGHN,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,TEC TECHNOLOGY INC,China,"TEC Technology, Inc."
HGKGF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,POWER ASSETS HOLDINGS LTD,China,Power Assets Holdings Ltd.
HGKGY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,POWER ASSETS HLDGS S/ADR,China,Power Assets Holdings Ltd.
HGPI,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,HORIZON GROUP PPTYS INC,USA,"Horizon Group Properties, Inc."
